intervention_name_with_r,future_timepoint,difference_in_optimal_distance,entropy
improved surveillance (r=0.24),2012-04-01,0.7878355979919438,1.9629711675006807
improved surveillance (r=0.24),2012-07-01,0.5072410106658927,2.0893194299298563
improved surveillance (r=0.24),2012-10-01,0.133993864059448,1.896795937307432
improved surveillance (r=0.24),2013-01-01,0.2232654094696049,1.6708220746714868
improved surveillance (r=0.24),2013-04-01,0.0748884677886967,1.4780276584788763
improved surveillance (r=0.24),2013-07-01,0.0555422306060791,1.6421042042234189
improved surveillance (r=0.24),2013-10-01,0.2616335153579712,1.7658876145522584
improved surveillance (r=0.24),2014-01-01,0.0012779235839841,1.800810036957011
improved surveillance (r=0.24),2014-04-01,0.105989933013916,1.876125818100989
improved surveillance (r=0.24),2014-07-01,0.314453125,1.8535477743596998
improved surveillance (r=0.24),2014-10-01,0.7607927322387695,1.943230853816827
improved surveillance (r=0.24),2015-01-01,1.7245974540710445,2.10230848778948
improved surveillance (r=0.24),2015-04-01,0.0789629220962524,1.9999772722052567
improved surveillance (r=0.24),2015-07-01,0.1926418542861938,1.8464720590495478
improved surveillance (r=0.24),2015-10-01,0.1065225601196289,1.7278052905581391
improved surveillance (r=0.24),2016-01-01,0.0647976398468015,1.9335686251183595
improved surveillance (r=0.24),2016-04-01,0.1792536973953251,1.6588656699014788
improved surveillance (r=0.24),2016-07-01,0.0738368034362788,1.6778479684510734
improved surveillance (r=0.24),2016-10-01,0.323859691619873,1.652309202463559
improved surveillance (r=0.24),2017-01-01,0.3703186511993408,1.3225150959572738
improved surveillance (r=0.24),2017-04-01,0.0801703929901123,1.8499350701336978
improved surveillance (r=0.24),2017-07-01,0.2036559581756596,1.942381665526915
improved surveillance (r=0.24),2017-10-01,0.1976330280303946,2.0690784308941685
improved surveillance (r=0.24),2018-01-01,0.1902503967285156,2.0007374676743246
improved surveillance (r=0.24),2018-04-01,0.0484354496002199,2.0764467918321867
improved surveillance (r=0.24),2018-07-01,0.2341969013214111,2.0639571696286674
improved surveillance (r=0.24),2018-10-01,0.041628599166871,2.002996463530957
improved surveillance (r=0.24),2019-01-01,0.0104334354400634,2.040689826607917
improved surveillance (r=0.24),2019-04-01,0.4525954723358159,2.032234428054983
improved surveillance (r=0.24),2019-07-01,0.4864802360534668,1.7967508207922205
improved surveillance (r=0.24),2019-10-01,0.1395168304443363,1.9192965227745682
improved vaccine (r=0.04),2012-04-01,2.209005236625672,1.9629711675006807
improved vaccine (r=0.04),2012-07-01,1.388257384300232,2.0893194299298563
improved vaccine (r=0.04),2012-10-01,0.2124290466308593,1.896795937307432
improved vaccine (r=0.04),2013-01-01,0.7407917976379395,1.6708220746714868
improved vaccine (r=0.04),2013-04-01,1.5094548463821411,1.4780276584788763
improved vaccine (r=0.04),2013-07-01,1.630657434463501,1.6421042042234189
improved vaccine (r=0.04),2013-10-01,0.6456698179244995,1.7658876145522584
improved vaccine (r=0.04),2014-01-01,0.1090781688690183,1.800810036957011
improved vaccine (r=0.04),2014-04-01,0.6782866716384888,1.876125818100989
improved vaccine (r=0.04),2014-07-01,0.6432013511657715,1.8535477743596998
improved vaccine (r=0.04),2014-10-01,2.6027936935424805,1.943230853816827
improved vaccine (r=0.04),2015-01-01,2.4004727602005005,2.10230848778948
improved vaccine (r=0.04),2015-04-01,0.4412281513214111,1.9999772722052567
improved vaccine (r=0.04),2015-07-01,0.5495873689651489,1.8464720590495478
improved vaccine (r=0.04),2015-10-01,0.5363273620605469,1.7278052905581391
improved vaccine (r=0.04),2016-01-01,0.302067756652832,1.9335686251183595
improved vaccine (r=0.04),2016-04-01,0.8148125410079956,1.6588656699014788
improved vaccine (r=0.04),2016-07-01,1.2027120590209956,1.6778479684510734
improved vaccine (r=0.04),2016-10-01,0.8107920885086057,1.652309202463559
improved vaccine (r=0.04),2017-01-01,1.225127100944519,1.3225150959572738
improved vaccine (r=0.04),2017-04-01,1.4991029500961304,1.8499350701336978
improved vaccine (r=0.04),2017-07-01,0.8644137382507329,1.942381665526915
improved vaccine (r=0.04),2017-10-01,1.17870831489563,2.0690784308941685
improved vaccine (r=0.04),2018-01-01,1.297239899635315,2.0007374676743246
improved vaccine (r=0.04),2018-04-01,0.7746816873550417,2.0764467918321867
improved vaccine (r=0.04),2018-07-01,0.395207405090332,2.0639571696286674
improved vaccine (r=0.04),2018-10-01,0.4207359552383427,2.002996463530957
improved vaccine (r=0.04),2019-01-01,0.654831528663635,2.040689826607917
improved vaccine (r=0.04),2019-04-01,1.447079062461853,2.032234428054983
improved vaccine (r=0.04),2019-07-01,1.743268966674805,1.7967508207922205
improved vaccine (r=0.04),2019-10-01,2.018186092376709,1.9192965227745682
improved vaccine and surveillance (r=-0.02),2012-04-01,2.2902736663818364,1.9629711675006807
improved vaccine and surveillance (r=-0.02),2012-07-01,1.4788745641708374,2.0893194299298563
improved vaccine and surveillance (r=-0.02),2012-10-01,0.3016163110733028,1.896795937307432
improved vaccine and surveillance (r=-0.02),2013-01-01,0.8316934108734131,1.6708220746714868
improved vaccine and surveillance (r=-0.02),2013-04-01,1.7334498167037964,1.4780276584788763
improved vaccine and surveillance (r=-0.02),2013-07-01,1.632391393184662,1.6421042042234189
improved vaccine and surveillance (r=-0.02),2013-10-01,0.7098997831344604,1.7658876145522584
improved vaccine and surveillance (r=-0.02),2014-01-01,0.3585823774337766,1.800810036957011
improved vaccine and surveillance (r=-0.02),2014-04-01,0.9659543037414552,1.876125818100989
improved vaccine and surveillance (r=-0.02),2014-07-01,2.1250250339508057,1.8535477743596998
improved vaccine and surveillance (r=-0.02),2014-10-01,2.71949315071106,1.943230853816827
improved vaccine and surveillance (r=-0.02),2015-01-01,2.4570131301879883,2.10230848778948
improved vaccine and surveillance (r=-0.02),2015-04-01,0.4935338497161865,1.9999772722052567
improved vaccine and surveillance (r=-0.02),2015-07-01,0.6625494360923767,1.8464720590495478
improved vaccine and surveillance (r=-0.02),2015-10-01,0.6452556848526002,1.7278052905581391
improved vaccine and surveillance (r=-0.02),2016-01-01,0.4201016426086426,1.9335686251183595
improved vaccine and surveillance (r=-0.02),2016-04-01,1.0924605131149292,1.6588656699014788
improved vaccine and surveillance (r=-0.02),2016-07-01,1.3539154529571529,1.6778479684510734
improved vaccine and surveillance (r=-0.02),2016-10-01,0.9345333576202391,1.652309202463559
improved vaccine and surveillance (r=-0.02),2017-01-01,1.6004555225372314,1.3225150959572738
improved vaccine and surveillance (r=-0.02),2017-04-01,1.5544927120208742,1.8499350701336978
improved vaccine and surveillance (r=-0.02),2017-07-01,0.9994351863861088,1.942381665526915
improved vaccine and surveillance (r=-0.02),2017-10-01,1.2182410955429075,2.0690784308941685
improved vaccine and surveillance (r=-0.02),2018-01-01,1.4347776770591736,2.0007374676743246
improved vaccine and surveillance (r=-0.02),2018-04-01,0.8351863622665409,2.0764467918321867
improved vaccine and surveillance (r=-0.02),2018-07-01,0.5005618333816528,2.0639571696286674
improved vaccine and surveillance (r=-0.02),2018-10-01,0.7379993200302128,2.002996463530957
improved vaccine and surveillance (r=-0.02),2019-01-01,1.096385717391968,2.040689826607917
improved vaccine and surveillance (r=-0.02),2019-04-01,1.512362360954285,2.032234428054983
improved vaccine and surveillance (r=-0.02),2019-07-01,2.817424058914185,1.7967508207922205
improved vaccine and surveillance (r=-0.02),2019-10-01,2.315038561820984,1.9192965227745682
