clade_membership,frequency,projected_frequency,n_strains,observed_frequency,future_n_strains,forecast_error,absolute_forecast_error,sample,timepoint,future_timepoint,delta_month,delay_type
A.6.8.4.6,0.035975,0.0426497864788513,12,0.075456,27,0.032806213521148694,0.032806213521148694,h3n2_no_delay,2011-04-01,2011-07-01,3.0,none
A.6.8.4.6.2,0.00902,0.010576192003195501,2,0.027611,8,0.0170348079968045,0.0170348079968045,h3n2_no_delay,2011-04-01,2011-07-01,3.0,none
A.6.8.4.7,0.104066,0.11608931884386998,96,0.148293,86,0.03220368115613002,0.03220368115613002,h3n2_no_delay,2011-04-01,2011-07-01,3.0,none
A.6.8.5,0.057654000000000004,0.039872710853655575,36,0.449878,111,0.41000528914634443,0.41000528914634443,h3n2_no_delay,2011-04-01,2011-07-01,3.0,none
A.6.8.5.1,0.025517,0.021219037984951842,18,0.040708,18,0.01948896201504816,0.01948896201504816,h3n2_no_delay,2011-04-01,2011-07-01,3.0,none
A.6.8.5.2,0.029646,0.0166847065820518,10,0.409132,92,0.3924472934179482,0.3924472934179482,h3n2_no_delay,2011-04-01,2011-07-01,3.0,none
A.6.8.5.2.4,0.018524,0.010726291536071702,6,0.106787,29,0.09606070846392831,0.09606070846392831,h3n2_no_delay,2011-04-01,2011-07-01,3.0,none
A.6.8.5.2.4.1,0.001953,0.000835157143796,1,0.005459,2,0.0046238428562040005,0.0046238428562040005,h3n2_no_delay,2011-04-01,2011-07-01,3.0,none
A.6,0.999978,0.999999999999975,630,0.999983,614,-1.699999997506474e-05,1.699999997506474e-05,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.6,0.147174,0.13355657385719416,98,0.06879199999999999,89,-0.06476457385719417,0.06476457385719417,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.6.2,0.014262,0.0110253896546492,10,0.0034119999999999997,7,-0.007613389654649199,0.007613389654649199,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.6.2.1,0.00997,0.0080762260817135,8,0.0031969999999999998,6,-0.004879226081713499,0.004879226081713499,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.6.3,0.129623,0.12108491945839119,86,0.061452,80,-0.059632919458391186,0.059632919458391186,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.6.3.2,0.030130999999999998,0.022713492645996057,13,0.022143,20,-0.0005704926459960576,0.0005704926459960576,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.6.3.3,0.091889,0.09349887944012544,65,0.038854,58,-0.05464487944012544,0.05464487944012544,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.8,0.851056,0.8652659166491513,530,0.931167,523,0.06590108335084865,0.06590108335084865,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.8.1,0.065216,0.04857891545049101,62,0.027952,32,-0.02062691545049101,0.02062691545049101,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.8.2,0.014355,0.009283542799608292,10,0.000491,6,-0.008792542799608291,0.008792542799608291,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.8.3,0.045457,0.03711363057127997,20,0.020506,24,-0.01660763057127997,0.01660763057127997,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
A.6.8.4,0.5807100000000001,0.6622325901332156,345,0.404652,311,-0.25758059013321555,0.25758059013321555,h3n2_ideal_delay,2011-04-01,2011-07-01,3.0,ideal
