delay_type,horizon,future_timepoint,optimal_distance,distance,initial_timepoint,delay,t,future_timepoint_numeric
none,3,2011-07-01,1.5679410696029663,5.132285118103027,2011-04-01,0.0,1,2011.5
none,3,2011-10-01,0.6685562133789062,2.991767406463623,2011-07-01,0.0,2,2011.75
none,3,2012-01-01,0.8094860911369324,3.3676607608795166,2011-10-01,0.0,3,2012.0
none,3,2012-04-01,1.0765855312347412,2.095904588699341,2012-01-01,0.0,4,2012.25
none,3,2012-07-01,0.6924402117729187,2.8094592094421387,2012-04-01,0.0,5,2012.5
none,3,2012-10-01,0.9251385927200316,2.644946336746216,2012-07-01,0.0,6,2012.75
none,3,2013-01-01,0.7037332653999329,3.260127782821656,2012-10-01,0.0,7,2013.0
none,3,2013-04-01,0.6371360421180725,2.463521242141724,2013-01-01,0.0,8,2013.25
none,3,2013-07-01,0.735089898109436,1.6021145582199097,2013-04-01,0.0,9,2013.5
none,3,2013-10-01,0.7174034714698792,2.215336561203003,2013-07-01,0.0,10,2013.75
none,3,2014-01-01,0.8673195242881775,2.064074754714966,2013-10-01,0.0,11,2014.0
none,3,2014-04-01,0.6069648265838623,2.0585296154022217,2014-01-01,0.0,12,2014.25
none,3,2014-07-01,0.6039310693740845,2.4583845138549805,2014-04-01,0.0,13,2014.5
none,3,2014-10-01,0.5442332029342651,2.084171295166016,2014-07-01,0.0,14,2014.75
none,3,2015-01-01,0.8620782494544983,2.896543025970459,2014-10-01,0.0,15,2015.0
none,3,2015-04-01,0.6174056529998779,2.813540458679199,2015-01-01,0.0,16,2015.25
none,3,2015-07-01,0.6184154152870178,2.0201992988586426,2015-04-01,0.0,17,2015.5
none,3,2015-10-01,0.5849424600601196,1.886763453483581,2015-07-01,0.0,18,2015.75
none,3,2016-01-01,0.6270390748977661,2.3796656131744385,2015-10-01,0.0,19,2016.0
none,3,2016-04-01,0.7114155888557434,2.5357906818389893,2016-01-01,0.0,20,2016.25
none,3,2016-07-01,0.7507134675979614,2.608370304107666,2016-04-01,0.0,21,2016.5
none,3,2016-10-01,0.7869625091552734,2.9579639434814453,2016-07-01,0.0,22,2016.75
none,3,2017-01-01,0.6411435008049011,4.020592212677002,2016-10-01,0.0,23,2017.0
none,3,2017-04-01,1.2269467115402222,2.6514785289764404,2017-01-01,0.0,24,2017.25
